0000_0000 // 0
0000_0001 // 1
0000_0010 // 2
0000_0011 // 3
0000_0100 // 4
0000_0101 // 5
0000_0110 // 6
0000_0111 // 7
0000_1000 // 8
0000_1001 // 9
0001_0000 // 10
0001_0001 // 11
0001_0010 // 12
0001_0011 // 13
0001_0100 // 14
0001_0101 // 15
0001_0110 // 16
0001_0111 // 17
0001_1000 // 18
0001_1001 // 19
0010_0000 // 20
0010_0001 // 21
0010_0010 // 22
0010_0011 // 23
0010_0100 // 24
0010_0101 // 25
0010_0110 // 26
0010_0111 // 27
0010_1000 // 28
0010_1001 // 29
0011_0000 // 30
0011_0001 // 31
0011_0010 // 32
0011_0011 // 33
0011_0100 // 34
0011_0101 // 35
0011_0110 // 36
0011_0111 // 37
0011_1000 // 38
0011_1001 // 39
0100_0000 // 40
0100_0001 // 41
0100_0010 // 42
0100_0011 // 43
0100_0100 // 44
0100_0101 // 45
0100_0110 // 46
0100_0111 // 47
0100_1000 // 48
0100_1001 // 49
0101_0000 // 50
0101_0001 // 51
0101_0010 // 52
0101_0011 // 53
0101_0100 // 54
0101_0101 // 55
0101_0110 // 56
0101_0111 // 57
0101_1000 // 58
0101_1001 // 59
0110_0000 // 60
0110_0001 // 61
0110_0010 // 62
0110_0011 // 63
0110_0100 // 64
0110_0101 // 65
0110_0110 // 66
0110_0111 // 67
0110_1000 // 68
0110_1001 // 69
0111_0000 // 70
0111_0001 // 71
0111_0010 // 72
0111_0011 // 73
0111_0100 // 74
0111_0101 // 75
0111_0110 // 76
0111_0111 // 77
0111_1000 // 78
0111_1001 // 79
1000_0000 // 80
1000_0001 // 81
1000_0010 // 82
1000_0011 // 83
1000_0100 // 84
1000_0101 // 85
1000_0110 // 86
1000_0111 // 87
1000_1000 // 88
1000_1001 // 89
1001_0000 // 90
1001_0001 // 91
1001_0010 // 92
1001_0011 // 93
1001_0100 // 94
1001_0101 // 95
1001_0110 // 96
1001_0111 // 97
1001_1000 // 98
1001_1001 // 99
